"sigla_unidade_ensino","nome_unidade_ensino","dt_autorizacao","sigla_uf_unidade_ensino","nome_municipio_unidade_ensino"
"null","CENTRO FEDERAL DE EDUCAÇÃO TÉCNOLOGICA DE MINAS GERAIS CAMPOS TIMÓTEO","21/11/2008 09:17:36","MG","Timóteo"
"null","CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS - CEFET-MG - UNIDADE DE VARGINHA","21/11/2008 15:50:40","MG","Varginha"
"null","centro federal de educação tecnologica de minas gerais/uned-araxá","24/11/2008 15:19:03","MG","Araxá"
"CEFET-MG","Centro Federal de Educação Tecnológica de Minas Gerais - Uned Araxá","13/03/2009 11:36:39","MG","Araxá"
"CEFET-MG","Centro Federal de Educação Tecnológica de Minas Gerais - Uned Contagem","21/03/2012 16:58:47","MG","Contagem"
"CEFET-MG","Centro Federal de Educação Tecnológica de Minas Gerais - Uned Curvelo","18/03/2010 12:57:45","MG","Curvelo"
"CEFET-MG","Centro Federal de Educação Tecnológica de Minas Gerais - Uned Divinópolis","13/03/2009 11:34:19","MG","Divinópolis"
"CEFET-MG","Centro Federal de Educação Tecnológica de Minas Gerais - Uned Leopoldina","17/03/2009 16:56:52","MG","Leopoldina"
"CEFET-MG","Centro Federal de Educação Tecnológica de Minas Gerais - Uned Nepomuceno","13/03/2009 11:48:34","MG","Nepomuceno"
"CEFET-MG","Centro Federal de Educação Tecnológica de Minas Gerais - Uned Timóteo","13/03/2009 11:43:31","MG","Timóteo"
"CEFET-MG","Centro Federal de Educação Tecnológica de Minas Gerais - Uned Varginha","13/03/2009 11:38:42","MG","Varginha"
"CEFET-MG","Centro Federal de Educação Tecnológica de Minas Gerais - Unidade Belo Horizonte","13/03/2009 10:19:18","MG","Belo Horizonte"
"null","CENTRO FEDERAL DE EDUCAÇÃO TECNOLOGICA DE MINAS GERAIS-UNIDADE CENTRALIZADA DE LEOPOLDINA","28/11/2008 14:00:48","MG","Leopoldina"
"null","CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE OURO PRETO","26/11/2008 15:50:27","MG","Ouro Preto"
"null","CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE OURO PRETO-UNED CONGONHAS","26/11/2008 20:34:46","MG","Congonhas"
"null","CENTRO FEDERAL DE EDUCAÇÃO TECNOLOGICA DE SERGIPE","16/03/2011 11:10:16","SE","Nossa Senhora da Glória"
"null","CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE UBERABA","19/02/2009 10:18:19","MG","Uberaba"
"null","Centro federal de educação tecnológica do espírito santo","21/11/2008 12:29:08","ES","Vitória"
"null","CESEC TEOTONIO MAGALHAES","21/02/2013 14:29:35","DF","Brasília"
"null","CETEB","05/08/2009 15:53:13","SP","Boituva"
"null","COLÈGIO AGRÌCOLA DOM AGOSTINHO IKAS - CODAI","03/09/2009 15:49:15","PE","São Lourenço da Mata"
"null","COLÉGIO EUCARÍSTICO","01/02/2011 10:52:40","RJ","Campos dos Goytacazes"
"CPII","Colégio Pedro II - Campus Centro","28/11/2008 13:53:12","RJ","Rio de Janeiro"
"CPII","Colégio Pedro II - Campus Duque de Caxias CP","15/07/2011 10:23:28","RJ","Duque de Caxias"
"CPII","Colégio Pedro II - Campus Engenho Novo II","28/11/2008 14:02:10","RJ","Rio de Janeiro"
"CPII","Colégio Pedro II - Campus Humaitá I","30/03/2015 16:15:10","RJ","Rio de Janeiro"
"CPII","Colégio Pedro II - Campus Humaitá II","03/12/2013 10:39:31","RJ","Rio de Janeiro"
"CPII","Colégio Pedro II - Campus Realengo I","06/05/2015 15:49:18","RJ","Rio de Janeiro"
"CPII","Colégio Pedro II - Campus Realengo II","28/11/2008 14:04:16","RJ","Rio de Janeiro"
"CPII","Colégio Pedro II - Campus São Cristóvão II","06/05/2015 16:00:44","RJ","Rio de Janeiro"
"CPII","Colégio Pedro II - Campus São Cristóvão III","28/11/2008 13:58:58","RJ","Rio de Janeiro"
"CPII","COLEGIO PEDRO II - campus TIJUCA I","06/05/2015 16:04:08","RJ","Rio de Janeiro"
"CPII","Colégio Pedro II - Campus Tijuca II","28/11/2008 14:08:14","RJ","Rio de Janeiro"
"CPII","COLÉGIO PEDRO II (UNIDADE ENGENHO NOVO I)","17/02/2016 10:35:48","RJ","Rio de Janeiro"
"CPII","COLÉGIO PEDRO II UNIDADE ESCOLAR DESCENTRALIZADA DE NITERÓI","06/05/2015 15:56:04","RJ","Niterói"
"CPII","COLEGIO PEDRO II (UNID SAO CRISTOVAO I)","17/02/2016 10:39:06","RJ","Rio de Janeiro"
"UFPI","Colégio Técnico de Bom Jesus","03/09/2009 15:08:46","PI","Bom Jesus"
"UFPI","Colégio Técnico de Floriano","05/06/2009 13:29:07","PI","Floriano"
"UFPI","Colégio Técnico de Teresina","24/07/2009 10:29:56","PI","Teresina"
"null","COLEGIO TECNICO UNIVERSITARIO","30/01/2009 17:03:27","MG","Juiz de Fora"
"null","CURSO MB MARTINS LTDA","04/02/2016 10:07:24","RJ","Niterói"
"null","DEPARTAMENTO DE ENFERMAGEM","03/04/2013 16:52:39","RN","Natal"
"null","EDUCAR BYTE","19/10/2009 19:48:55","SP","Guarulhos"
"null","EE PEDRO PEREIRA GUIMARAES","18/09/2012 09:37:55","MG","Vazante"
"null","EFAI-ESCOLA DE AVIAÇÃO CIVIL","29/09/2017 10:45:32","MG","Contagem"
"null","ESC MEDIA DE AGROP REGIONAL DA CEPLAC","09/10/2009 14:13:12","BA","Teixeira de Freitas"
"null","ESCOLA AGROTECNICA FEDERAL CRATO","07/04/2009 13:38:16","CE","Crato"
"null","ESCOLA DE MUSICA DA UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE","25/03/2009 11:26:33","RN","Natal"
"null","ESCOLA DE MÚSICA DA UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE","13/12/2011 17:31:38","RN","Natal"
"null","ESCOLA ESTADUAL HENRIQUE KRUGER","03/07/2015 17:46:42","MG","Uberaba"
"null","ESCOLA ESTADUAL SÃO MIGUEL","25/07/2017 15:51:49","MG","Jequitinhonha"
"null","ESCOLA ESTADUAL TÉCNICA FRONTEIRA NOROESTE","01/07/2009 15:27:39","RS","Santa Rosa"
"null","ESCOLA MEDIA DE AGROPECUA REG DA CEPLAC","09/10/2009 14:35:01","BA","Valença"
"null","ESCOLA MEDIA DE AGROPECUARIA R DA CEPLAC","09/10/2009 14:44:15","BA","Uruçuca"
"null","ESCOLA MEDIA DE AGROPECUARIA REGIONAL DA CEPLAC","09/10/2009 14:07:44","BA","Itapetinga"
"null","escola politécnica de saúde joaquim venâncio / fiocruz","17/11/2008 12:30:19","RJ","Rio de Janeiro"
"null","ESCOLA SUPERIOR DA AMAZÔNIA S/C LTDA","10/10/2014 15:27:19","PA","Belém"
"null","ESCOLA TÉCNICA DE ARTES","28/05/2009 12:18:08","AL","Maceió"
"null","ESCOLA TÉCNICA DE ENFERMAGEM - ETE HCPA","31/03/2010 15:01:34","RS","Porto Alegre"
"null","ESCOLA TÉCNICA DO ARSENAL DE MARINHA DO RIO DE JANEIRO","15/04/2010 10:43:10","RJ","Rio de Janeiro"
"null","Escola teste - manual sistec","26/02/2016 11:06:10","DF","Brasília"
"null","escolo agrotecnica federal de ceres","14/11/2008 14:13:01","GO","Ceres"
"null","ETVUF - RN - ESCOLA DE MÚSICA","26/05/2009 17:13:31","RN","Natal"
"null","FACULDADES INTEGRADAS CARAJÁS S/C LTDA","10/10/2014 15:35:39","PA","Redenção"
"RJ-OSÓRIO","FUNDAÇÃO OSÓRIO","15/01/2014 10:44:14","RJ","Rio de Janeiro"
"null","FUNDAÇÃO OSWALDO CRUZ ESCOLA POLITÉCNICA DE SAÚDE JOAQUIM VENÂNCIO","17/11/2008 12:30:17","RJ","Rio de Janeiro"
"UFRR","Fundação Universidade Federal de Roraima - Escola Agrotécnica","03/09/2009 15:51:21","RR","Boa Vista"
"IFAL","IFAL - Campus avançado MACEIÓ BENEDITO BENTES","30/01/2015 11:28:16","AL","Maceió"
"null","IF DE ALAGOAS CAMPU SATUBA","10/03/2009 11:12:46","AL","Satuba"
"null","IF DE ALAGOAS CAMPUS MACEIÓ","10/03/2009 11:01:17","AL","Maceió"
"null","IF DE ALAGOAS CAMPUS MARECHAL DEODORO","10/03/2009 11:08:36","AL","Marechal Deodoro"
"null","IF DO ACRE campus  RIO BRANCO","05/03/2009 08:21:23","AM","Manaus"
"null","IF do amazonas  CAMPUS SÃO GABRIEL DA CACHOEIRA","25/05/2009 10:54:47","AM","São Gabriel da Cachoeira"
"null","IFMA - CENTRO DE REFERENCIA TECNOLOGICA","24/08/2017 16:23:19","MA","São Luís"
"null","IFMT - CAMPUS AVANÇADO GUARANTÃ DO NORTE","17/05/2016 15:43:50","MT","Guarantã do Norte"
"null","IFMT - CAMPUS AVANÇADO LUCAS DO RIO VERDE","17/05/2016 18:16:07","MT","Lucas do Rio Verde"
"null","INMETRO","16/05/2018 11:52:43","RJ","Duque de Caxias"
"null","INSTITUTO BENJAMIN CONSTANT","08/01/2019 15:34:39","RJ","Rio de Janeiro"
"null","INSTITUTO DE CONTROLE DO ESPAÇO AÉREO","27/03/2013 12:50:38","SP","São José dos Campos"
"null","INSTITUTO DE CONTROLE DO ESPAÇO AEREO - ICEA","16/08/2013 10:38:09","SP","São José dos Campos"
"null","INSTITUTO EVANDRO CHAGAS","22/07/2009 10:14:28","PA","Belém"
"IF BAIANO","INSTITUTO FEDERAL BAIANO CAMPUS ALAGOINHAS","30/01/2014 10:00:43","BA","Alagoinhas"
"IF BAIANO","INSTITUTO FEDERAL BAIANO CAMPUS AVANÇADO MEDEIROS NETO","30/01/2014 10:25:09","BA","Medeiros Neto"
"IF BAIANO","Instituto Federal Baiano - Campus Bom Jesus da Lapa","06/04/2010 16:38:56","BA","Bom Jesus da Lapa"
"IF BAIANO","Instituto Federal Baiano - Campus Catu","06/03/2009 09:47:06","BA","Catu"
"IF BAIANO","Instituto Federal Baiano - Campus Governador Mangabeira","06/05/2013 17:28:59","BA","Governador Mangabeira"
"IF BAIANO","Instituto Federal Baiano - Campus Guanambi","06/03/2009 09:44:38","BA","Guanambi"
"IF BAIANO","INSTITUTO FEDERAL BAIANO CAMPUS ITABERABA","13/05/2016 17:47:37","BA","Itaberaba"
"IF BAIANO","Instituto Federal Baiano - Campus Itapetinga","06/03/2009 09:57:27","BA","Itapetinga"
"IF BAIANO","Instituto Federal Baiano - Campus Santa Inês","06/03/2009 09:53:11","BA","Santa Inês"
"IF BAIANO","Instituto Federal Baiano - Campus Senhor do Bonfim","06/03/2009 10:10:02","BA","Senhor do Bonfim"
"IF BAIANO","INSTITUTO FEDERAL BAIANO – CAMPUS SERRINHA","14/11/2015 11:14:13","BA","Serrinha"
"IF BAIANO","Instituto Federal Baiano - Campus Teixeira de Freitas","06/03/2009 10:14:51","BA","Teixeira de Freitas"
"IF BAIANO","Instituto Federal Baiano - Campus Uruçuca","06/03/2009 10:18:09","BA","Uruçuca"
"IF BAIANO","Instituto Federal Baiano - Campus Valença","06/03/2009 10:25:31","BA","Valença"
"IF BAIANO","INSTITUTO FEDERAL BAIANO CAMPUS XIQUE-XIQUE","13/05/2016 17:37:07","BA","Xique-Xique"
"null","INSTITUTO FEDERAL BAIANO CENTRO DE REFERÊNCIA DOIS DE JULHO","18/04/2017 14:03:55","BA","Salvador"
"IFC","Instituto Federal Catarinense - Campus Araquari","04/03/2009 15:42:31","SC","Araquari"
"IFC","INSTITUTO FEDERAL CATARINENSE - CAMPUS AVANÇADO ABELARDO LUZ","30/01/2014 09:59:15","SC","Abelardo Luz"
"IFC","INSTITUTO FEDERAL CATARINENSE CAMPUS AVANÇADO SOMBRIO","30/01/2014 11:08:22","SC","Sombrio"
"IFC","Instituto Federal Catarinense - Campus Blumenau","07/06/2011 16:48:33","SC","Blumenau"
"IFC","INSTITUTO FEDERAL CATARINENSE CAMPUS BRUSQUE","19/11/2013 15:08:17","SC","Brusque"
"IFC","Instituto Federal Catarinense - Campus Camboriú","04/03/2009 15:39:14","SC","Camboriú"
"IFC","Instituto Federal Catarinense - Campus Concórdia","04/03/2009 15:31:03","SC","Concórdia"
"IFC","Instituto Federal Catarinense - Campus Fraiburgo","07/06/2011 16:43:13","SC","Fraiburgo"
"IFC","Instituto Federal Catarinense - Campus Ibirama","07/06/2011 10:06:42","SC","Ibirama"
"IFC","Instituto Federal Catarinense - Campus Luzerna","07/06/2011 09:41:54","SC","Luzerna"
"null","INSTITUTO FEDERAL CATARINENSE - CAMPUS REITORIA","17/03/2011 09:42:33","SC","Blumenau"
"IFC","Instituto Federal Catarinense - Campus Rio do Sul","09/03/2009 16:37:28","SC","Rio do Sul"
"IFC","Instituto Federal Catarinense - Campus Santa Rosa do Sul","04/03/2009 15:34:26","SC","Santa Rosa do Sul"
"IFC","INSTITUTO FEDERAL CATARINENSE CAMPUS SÃO BENTO DO SUL","30/01/2014 11:22:01","SC","São Bento do Sul"
"IFC","Instituto Federal Catarinense - Campus São Francisco do Sul","15/07/2011 16:31:53","SC","São Francisco do Sul"
"IFC","Instituto Federal Catarinense - Campus Videira","28/04/2010 15:17:46","SC","Videira"
"IFC","INSTITUTO FEDERAL CATARINENSE CENTRO DE REFERÊNCIA CAPINZAL","17/06/2014 09:32:43","SC","Capinzal"
"IFC","INSTITUTO FEDERAL CATARINENSE - CENTRO DE REFERÊNCIA CATANDUVAS","17/06/2014 10:33:06","SC","Catanduvas"
"IFC","INSTITUTO FEDERAL CATARINENSE - CENTRO DE REFERÊNCIA POUSO REDONDO","17/06/2014 10:19:22","SC","Pouso Redondo"
"null","INSTITUTO FEDERAL DA BAHIA CAMPUS AVANÇADO DIAS D\'ÁVILA","31/01/2014 13:28:13","BA","Dias d´Ávila"
"null","INSTITUTO FEDERAL DA BAHIA CAMPUS AVANÇADO GOVERNADOR MANGABEIRA","07/06/2011 16:07:01","BA","Salvador"
"IFBA","INSTITUTO FEDERAL DA BAHIA CAMPUS AVANÇADO UBAITABA","10/09/2014 09:49:19","BA","Ubaitaba"
"IFBA","Instituto Federal da Bahia - Campus Barreiras","05/03/2009 09:54:28","BA","Barreiras"
"IFBA","Instituto Federal da Bahia - Campus Brumado","06/02/2014 10:34:28","BA","Brumado"
"IFBA","Instituto Federal da Bahia - Campus Camaçari","05/03/2009 09:48:28","BA","Camaçari"
"IFBA","INSTITUTO FEDERAL DA BAHIA CAMPUS EUCLIDES DA CUNHA","31/01/2014 13:31:56","BA","Euclides da Cunha"
"IFBA","Instituto Federal da Bahia - Campus Eunápolis","05/03/2009 09:36:58","BA","Eunápolis"
"IFBA","Instituto Federal da Bahia - Campus Feira de Santana","22/03/2011 16:27:41","BA","Feira de Santana"
"IFBA","Instituto Federal da Bahia - Campus Ilhéus","22/03/2011 16:15:39","BA","Ilhéus"
"IFBA","Instituto Federal da Bahia - Campus Irecê","22/03/2011 16:04:57","BA","Irecê"
"IFBA","Instituto Federal da Bahia - Campus Jacobina","22/03/2011 16:21:03","BA","Jacobina"
"IFBA","Instituto Federal da Bahia - Campus Jequié","22/03/2011 16:00:43","BA","Jequié"
"IFBA","INSTITUTO FEDERAL DA BAHIA CAMPUS JUAZEIRO","31/01/2014 13:36:20","BA","Juazeiro"
"IFBA","INSTITUTO FEDERAL DA BAHIA CAMPUS LAURO DE FREITAS","31/01/2014 13:43:50","BA","Lauro de Freitas"
"IFBA","Instituto Federal da Bahia - Campus Paulo Afonso","22/03/2011 16:08:15","BA","Paulo Afonso"
"IFBA","Instituto Federal da Bahia - Campus Porto Seguro","05/03/2009 09:41:11","BA","Porto Seguro"
"IFBA","Instituto Federal da Bahia - Campus Salvador","05/03/2009 08:49:02","BA","Salvador"
"IFBA","Instituto Federal da Bahia - Campus Santo Amaro","05/03/2009 09:14:22","BA","Santo Amaro"
"IFBA","INSTITUTO FEDERAL DA BAHIA CAMPUS SANTO ANTÔNIO DE JESUS","31/01/2014 13:58:42","BA","Santo Antônio de Jesus"
"IFBA","Instituto Federal da Bahia - Campus Seabra","22/03/2011 16:24:09","BA","Seabra"
"IFBA","Instituto Federal da Bahia - Campus Simões Filho","05/03/2009 09:08:37","BA","Simões Filho"
"IFBA","Instituto Federal da Bahia - Campus Valença Tento","05/03/2009 09:23:17","BA","Valença"
"IFBA","Instituto Federal da Bahia - Campus Vitória da Conquista","05/03/2009 09:31:16","BA","Vitória da Conquista"
"IFPB","INSTITUTO FEDERAL DA PARAÍBA CAMPUS AVANÇADO AREIA","31/01/2014 13:31:09","PB","Areia"
"IFPB","INSTITUTO FEDERAL DA PARAÍBA CAMPUS AVANÇADO CABEDELO CENTRO","13/03/2014 17:24:48","PB","Cabedelo"
"IFPB","INSTITUTO FEDERAL DA PARAÍBA CAMPUS AVANÇADO JOÃO PESSOA MANGABEIRA","31/01/2014 13:43:57","PB","João Pessoa"
"IFPB","INSTITUTO FEDERAL DA PARAÍBA CAMPUS AVANÇADO PEDRAS DE FOGO","31/01/2014 13:54:57","PB","Pedras de Fogo"
"IFPB","INSTITUTO FEDERAL DA PARAÍBA CAMPUS AVANÇADO SOLEDADE","16/06/2014 17:20:54","PB","Soledade"
"IFPB","Instituto Federal da Paraíba - Campus Cabedelo","19/05/2009 15:22:18","PB","Cabedelo"
"IFPB","Instituto Federal da Paraíba - Campus Cajazeiras","02/03/2009 16:42:14","PB","Cajazeiras"
"IFPB","Instituto Federal da Paraíba - Campus Campina Grande","03/03/2009 10:24:40","PB","Campina Grande"
"IFPB","INSTITUTO FEDERAL DA PARAÍBA CAMPUS CATOLÉ DO ROCHA","31/01/2014 12:21:31","PB","Catolé do Rocha"
"IFPB","INSTITUTO FEDERAL DA PARAÍBA CAMPUS ESPERANÇA","31/01/2014 13:09:14","PB","Esperança"
"IFPB","Instituto Federal da Paraíba - Campus Guarabira","30/09/2011 16:10:16","PB","Guarabira"
"IFPB","INSTITUTO FEDERAL DA PARAÍBA CAMPUS ITABAIANA","31/01/2014 13:14:01","PB","Itabaiana"
"IFPB","INSTITUTO FEDERAL DA PARAÍBA CAMPUS ITAPORANGA","15/07/2014 11:08:22","PB","Itaporanga"
"IFPB","Instituto Federal da Paraíba - Campus João Pessoa","02/03/2009 17:14:42","PB","João Pessoa"
"IFPB","Instituto Federal da Paraíba - Campus Monteiro","20/05/2009 10:09:49","PB","Monteiro"
"IFPB","Instituto Federal da Paraíba - Campus Patos","20/05/2009 10:07:58","PB","Patos"
"IFPB","Instituto Federal da Paraíba - Campus Picuí","19/05/2009 16:10:22","PB","Picuí"
"IFPB","Instituto Federal da Paraíba - Campus Princesa Isabel","19/05/2009 15:58:13","PB","Princesa Isabel"
"IFPB","INSTITUTO FEDERAL DA PARAÍBA campus santa luzia","14/06/2014 19:19:59","PB","Santa Luzia"
"IFPB","INSTITUTO FEDERAL DA PARAÍBA CAMPUS SANTA RITA","17/06/2014 14:48:10","PB","Santa Rita"
"IFPB","Instituto Federal da Paraíba - Campus Sousa","02/03/2009 17:38:35","PB","Sousa"
"IFAL","Instituto Federal de Alagoas - Campus Arapiraca","23/02/2011 11:38:31","AL","Arapiraca"
"IFAL","Instituto Federal de Alagoas - Campus Batalha","30/01/2014 10:58:31","AL","Batalha"
"IFAL","Instituto Federal de Alagoas - Campus Coruripe","30/01/2014 11:16:44","AL","Coruripe"
"IFAL","Instituto Federal de Alagoas - Campus Maceió","05/03/2009 08:24:17","AL","Maceió"
"IFAL","Instituto Federal de Alagoas - Campus Maragogi","23/02/2011 12:26:11","AL","Maragogi"
"IFAL","Instituto Federal de Alagoas - Campus Marechal Deodoro","05/03/2009 09:21:54","AL","Marechal Deodoro"
"IFAL","Instituto Federal de Alagoas - Campus Murici","23/02/2011 15:34:35","AL","Murici"
"IFAL","Instituto Federal de Alagoas - Campus Palmeira dos Índios","05/03/2009 09:09:12","AL","Palmeira dos Índios"
"IFAL","Instituto Federal de Alagoas - Campus Penedo","23/02/2011 12:17:08","AL","Penedo"
"IFAL","Instituto Federal de Alagoas - Campus Piranhas","23/02/2011 15:27:18","AL","Piranhas"
"IFAL","Instituto Federal de Alagoas - Campus Rio Largo","30/01/2014 11:29:47","AL","Rio Largo"
"IFAL","Instituto Federal de Alagoas - Campus Santana do Ipanema","23/02/2011 15:40:59","AL","Santana do Ipanema"
"IFAL","Instituto Federal de Alagoas - Campus São Miguel dos Campos","23/02/2011 15:46:18","AL","São Miguel dos Campos"
"IFAL","Instituto Federal de Alagoas - Campus Satuba","05/03/2009 08:28:18","AL","Satuba"
"IFAL","Instituto Federal de Alagoas - Campus Viçosa","30/01/2014 10:48:38","AL","Viçosa"
"IFB","INSTITUTO FEDERAL DE BRASÍLIA CAMPUS AVANÇADO SOBRADINHO","20/03/2014 09:50:23","DF","Brasília"
"IFB","Instituto Federal de Brasília - Campus Brasília","05/01/2010 14:13:25","DF","Brasília"
"IFB","INSTITUTO FEDERAL DE BRASILIA CAMPUS CEILÂNDIA","28/05/2012 12:12:56","DF","Brasília"
"IFB","INSTITUTO FEDERAL DE BRASÍLIA CAMPUS ESTRUTURAL","23/04/2012 15:06:42","DF","Brasília"
"IFB","Instituto Federal de Brasília - Campus Gama","21/01/2010 12:54:12","DF","Brasília"
"IFB","Instituto Federal de Brasília - Campus Planaltina","02/03/2009 10:27:56","DF","Brasília"
"IFB","INSTITUTO FEDERAL DE BRASILIA CAMPUS RECANTO DAS EMAS","01/11/2011 08:34:34","DF","Brasília"
"null","INSTITUTO FEDERAL DE BRASILIA CAMPUS RECANTO DAS EMAS inativa","07/06/2018 12:22:46","DF","Brasília"
"IFB","Instituto Federal de Brasília - Campus Riacho Fundo","15/07/2011 11:44:14","DF","Brasília"
"IFB","Instituto Federal de Brasília - Campus Samambaia","21/01/2010 12:47:36","DF","Brasília"
"null","INSTITUTO FEDERAL DE BRASILIA CAMPUS SÃO SEBASTIÃO","07/06/2011 16:46:33","DF","Brasília"
"IFB","Instituto Federal de Brasília - Campus São Sebastião","15/07/2011 11:40:42","DF","Brasília"
"IFB","Instituto Federal de Brasília - Campus Taguatinga","21/01/2010 12:40:01","DF","Brasília"
"null","INSTITUTO FEDERAL DE EDUCACAO- CIENCIA E TECNOLOGIA DA PARAIBA","02/03/2009 16:00:00","PB","João Pessoa"
"null","INSTITUTO FEDERAL DE EDUCAÇÃO- CIÊNCIA E TECNOLOGIA DO PARA. ","18/07/2011 09:50:08","PA","Santarém"
"null","INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PIAUÍ - CAMPUS OEIRAS","05/02/2014 09:16:20","PI","Oeiras"
"null","INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PIAUÍ- CAMPUS PEDRO II","05/02/2014 09:23:36","PI","Pedro II"
"null","INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PIAUÍ- CAMPUS SÃO JOÃO DO PIAUÍ","05/02/2014 09:28:29","PI","São João do Piauí"
"null","INSTITUTO FEDERAL DE EDUCAÇÃO- CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL - CAMPUS PORTO ALEGRE","11/05/2009 18:43:08","RS","Porto Alegre"
"null","INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TÉCNOLOGIA DO SUL DE MINAS GERAIS CAMPUS MACHADO","15/04/2009 15:03:01","MG","Machado"
"IF FARROUPILHA"," INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA - CÂMPUS FREDERICO WESTPHALEN","12/02/2015 12:58:22","RS","Frederico Westphalen"
"null","Instituto Federal de Goiás - Campus Águas Lindas de Goiás","27/01/2014 16:31:42","GO","Águas Lindas de Goiás"
